1,-1,-1,-1
2,-1,-1,-1
3,-1,-1,-1
4,0,5,12
5,0,7,5
6,0,5,12
7,0,5,12
8,-1,-1,-1
9,0,7,5
10,0,7,5
11,0,7,5
12,0,7,5
13,-1,-1,-1
14,-1,-1,-1
15,9,5,2
16,0,12,5
17,0,7,5
18,0,7,5
19,0,7,5
20,-1,-1,-1
21,-1,-1,-1
22,-1,-1,-1
23,9,5,8
24,-1,-1,-1
25,-1,-1,-1
26,9,5,8
27,9,5,8
28,9,5,8
29,-1,-1,-1
30,9,5,8
31,0,5,10
32,9,5,8
33,0,5,10
34,9,5,8
35,-1,-1,-1
36,-1,-1,-1
37,9,5,8
38,-1,-1,-1
39,0,7,5
40,0,5,9
41,0,5,9
42,0,12,6
43,-1,-1,-1
44,0,7,5
45,0,7,5
46,0,7,5
47,0,7,5
48,9,5,8
49,-1,-1,-1
50,0,6,10
51,0,12,5
52,0,6,10
53,0,5,10
54,-1,-1,-1
55,-1,-1,-1
56,-1,-1,-1
57,-1,-1,-1
58,0,7,5
59,0,7,5
60,0,7,5
61,0,7,5
62,-1,-1,-1
63,9,5,8
64,11,2,10
65,-1,-1,-1
66,-1,-1,-1
67,0,7,5
68,0,7,5
69,0,7,5
70,0,5,10
71,-1,-1,-1
72,-1,-1,-1
73,-1,-1,-1
74,-1,-1,-1
75,-1,-1,-1
76,-1,-1,-1
77,0,5,12
78,0,5,12
79,0,5,12
80,0,5,12
81,-1,-1,-1
82,-1,-1,-1
83,9,5,8
84,9,5,8
85,-1,-1,-1
86,-1,-1,-1
87,-1,-1,-1
88,-1,-1,-1
89,-1,-1,-1
90,-1,-1,-1
91,0,7,5
92,0,7,5
93,0,7,5
94,0,7,5
95,-1,-1,-1
96,-1,-1,-1
97,-1,-1,-1
98,-1,-1,-1
99,-1,-1,-1
100,0,5,12
101,0,5,12
102,0,12,5
103,0,5,10
104,9,5,8
105,-1,-1,-1
106,-1,-1,-1
107,-1,-1,-1
108,-1,-1,-1
109,2,6,10
110,-1,-1,-1
111,9,5,8
112,-1,-1,-1
113,-1,-1,-1
114,-1,-1,-1
115,-1,-1,-1
116,-1,-1,-1
117,0,5,12
118,0,5,12
119,0,5,12
120,0,5,12
121,9,8,5
122,9,8,5
123,0,5,12
124,0,5,12
125,0,5,12
126,2,6,10
127,-1,-1,-1
128,9,5,8
129,-1,-1,-1
130,9,5,8
131,9,5,8
132,9,5,8
133,0,5,10
134,0,5,10
135,2,11,10
136,2,10,8
137,-1,-1,-1
138,-1,-1,-1
139,0,5,12
140,0,12,5
141,0,5,12
142,0,5,12
143,-1,-1,-1
144,0,5,12
145,0,5,12
146,0,5,12
147,0,5,12
148,-1,-1,-1
149,-1,-1,-1
150,-1,-1,-1
151,-1,-1,-1
152,-1,-1,-1
153,-1,-1,-1
154,-1,-1,-1
155,-1,-1,-1
156,-1,-1,-1
157,-1,-1,-1
158,9,5,8
159,0,5,12
160,0,5,12
161,0,5,10
162,-1,-1,-1
163,9,5,8
164,9,5,8
165,9,5,8
166,0,5,9
167,0,5,9
168,9,8,12
169,-1,-1,-1
170,-1,-1,-1
171,9,5,8
172,0,5,10
173,0,5,10
174,0,5,12
175,0,5,10
176,-1,-1,-1
177,-1,-1,-1
178,-1,-1,-1
179,0,5,9
180,0,7,5
181,0,7,5
182,0,5,12
183,-1,-1,-1
184,-1,-1,-1
185,-1,-1,-1
186,0,7,5
187,0,7,5
188,0,5,10
189,0,5,10
190,9,5,8
191,0,5,10
192,9,5,8
193,0,5,10
194,9,5,8
195,9,5,8
196,9,5,8
197,-1,-1,-1
198,-1,-1,-1
199,-1,-1,-1
200,-1,-1,-1
201,-1,-1,-1
202,9,5,8
203,9,5,8
204,-1,-1,-1
205,-1,-1,-1
206,0,12,9
207,0,7,5
208,0,7,5
209,0,7,5
210,9,5,8
211,9,5,8
212,9,5,8
213,0,5,10
214,9,5,8
215,9,5,8
216,-1,-1,-1
217,9,5,8
218,-1,-1,-1
219,-1,-1,-1
220,-1,-1,-1
221,-1,-1,-1
222,0,7,5
223,0,12,5
224,0,7,5
225,0,7,5
226,-1,-1,-1
227,9,5,8
